family,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,258,259,261,263,264,269,275,276,277,279,281,282,283,285,286,289,290,293,294,297,299,300,302,304,305,306,307,312,313,317,320,322,326,330,332,333,342,383,391,407,411,420,424,425,435,441,444,446,452,464,467,469,470,473,474,476,479,481,485,486,489,496,507,510,511,512,519,520,528,536,539,543,547,551,591,600,609,624,626,628,629,630,633,639,642,644,646,655,657,664,668,672,677,678,684,697,702,710,716,717,718,719,720,722,726,741,promo_lift
SCHOOL AND OFFICE SUPPLIES,1.0220183697428697,17.59781619654231,19.641388174807197,21.577814569536425,26.423766816143498,37.440993788819874,49.41428571428571,69.13333333333334,87.36521739130434,94.2,143.6236559139785,274.64912280701753,437.23636363636365,433.89473684210526,526.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.218688741347922
BABY CARE,0.10962446222065733,1.6603773584905661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.146047924490427
PET SUPPLIES,3.507379129069331,15.852739726027398,20.433333333333334,4.074074074074074,5.916666666666667,9.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5198249583682326
HOME AND KITCHEN II,10.275239048254392,36.15021459227468,46.378894700932456,48.8289156626506,51.059920106524636,57.05329949238579,70.245,67.81176470588235,47.0,42.46666666666667,29.53846153846154,31.0,21.25,36.5,47.5,34.0,,,50.5,,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.518187209320065
HOME APPLIANCES,0.4568762516780739,1.396551724137931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0567395854096073
HOME CARE,101.95600876742354,309.01185609157807,302.99793956043953,269.5736797274276,265.4460547504026,284.3985287754219,298.12810886907556,296.8491246138002,300.92004264392324,314.9246737841044,322.2061790668348,326.07200587803084,352.2999157540017,363.2502564102564,385.11063829787236,379.29007633587787,428.07816711590294,406.84549356223175,397.98026315789474,356.8217821782178,356.02597402597405,362.2962962962963,353.1304347826087,432.7692307692308,551.5,642.9090909090909,,,,,,,85.0,,,106.5,110.0,130.0,159.0,130.66666666666666,,164.33333333333334,137.33333333333334,206.0,209.5,211.0,223.4,227.0,508.0,262.0,300.0,388.0,344.5,271.6666666666667,249.5,260.6666666666667,302.25,284.5,367.5,339.0,,224.0,372.3333333333333,408.5,313.0,,,,431.0,,600.0,443.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0308351594703846
PRODUCE,792.1019107829167,2103.026708071093,1633.0978786243015,1939.5877042248378,2099.289321646131,2310.249789664613,2444.0399800994574,2372.915170342298,2836.0969940026075,3586.6395654036246,4284.035336013514,3887.527706302521,2430.802007610063,2775.5085942613637,2146.57809513369,2903.435326506024,2087.221991451613,1655.298804848485,2854.0086307894735,2511.795725,2538.693934375,2479.990596,2740.660238461539,1356.0655555555556,1548.268909090909,1630.5543846153848,1771.3147142857142,1829.294625,1547.54125,1671.8829285714287,2006.4713631578948,1907.8815333333334,2114.2322916666667,2408.4662916666666,2602.073518205128,2025.5962666666665,2650.4517005999996,2608.703448979592,2997.9237945945947,2419.7812904109587,2370.2028132352943,2499.6035294117646,2148.136477142857,1654.655930862069,1797.8764291428572,427.0957333333333,349.6359166666667,299.1261666666667,1135.1745999999998,1249.7295714285715,1182.9802857142859,1090.452888888889,886.9495999999999,1392.9397800000002,505.40514285714283,379.1953,387.906625,302.8257857142857,359.15843684210523,356.5645,398.2401111111111,407.4039375,419.264,474.4783076923077,474.2856842105263,546.0045007142857,488.78480884615385,546.7735230434782,528.4665104444445,583.3325856756758,616.9762049122808,570.052,624.9134568627451,576.2832241818181,632.5852121818182,637.1058241176471,719.073,727.19221,679.1949683606557,859.2771924561404,841.4215671641791,898.7510625,814.380151969697,902.4309332786886,959.9547518518519,926.6519328888888,978.55629375,1097.9817546938775,1103.1427142857142,1252.369033448276,1301.9399006666667,1399.9149583333335,1528.364913043478,1450.5875789473685,1443.8229954545457,1503.2266842105264,1614.440409090909,1742.6320655172412,1649.55275,1698.5279199999998,1811.4086153846156,1744.535971875,1821.594496153846,1675.3438931034484,1793.1658,1664.7776527499998,1659.8055,2020.9347292682928,1904.2344431707315,1961.5569333333335,2062.0742394736844,1809.624626,1988.0297896551724,1928.3805799999998,1804.426351403509,1798.6636688888889,1856.0799411764706,1780.6062113157896,1908.7971113207548,1941.0134163636362,2024.1213809523808,1840.1486159090907,1963.488108695652,1985.5161310344827,2049.096724042553,2115.698430952381,2060.9565592592594,2147.421999032258,2218.999437352941,2188.587525,2012.552451612903,2099.1051888888887,2262.444502777778,2163.8680789473683,2277.85370952381,2254.3149160000003,2375.8099354838714,2202.277996,2454.8196333333335,2296.5760692307695,2329.927857142857,2318.892226923077,2531.7364074074076,2446.600594736842,2407.707145,2550.419156,2582.989625,2654.4549742857143,2820.5851533333334,3027.2104,2783.7795384615383,3134.075002857143,3025.5474548387097,2984.881374074074,3065.048869565217,3048.6746464285716,2644.4803500000003,2969.732396,2661.165836363636,3411.5022894736844,2756.194111111111,3000.8176363636367,3136.157811538462,3126.297257142857,3058.6804818181818,3613.055583870968,3956.0289236842104,3645.4786585365855,3446.393382352941,3394.226558536586,3264.2534358974362,3519.4293947368424,4076.759085,3595.950027777778,4541.412,3985.638064516129,3647.710496,4892.088606976744,4589.373213461538,3852.8636375,4652.6434345454545,5034.340323404255,4382.950813461538,5071.315228070175,4474.008278723404,4377.124167213115,4623.923630232558,4494.555506122449,4403.209418604652,3960.1565075,4932.7496363636365,4267.733346938776,3874.4175499999997,5335.984141860466,4287.499914893617,4990.381542857142,5218.108413793104,5116.6422551020405,4934.670944444444,5623.852891891892,4860.468257894737,5918.19505,5353.89885,5245.651756097561,5792.943635897436,5719.02996,5891.681205882353,5897.081976271186,6372.02659375,6064.318753333333,6494.086163768116,5772.464737704918,6239.430072463768,5964.121918644068,6425.590804878048,6759.544989285714,6549.938977083333,7231.1277666666665,7708.241747826088,6356.213765517242,6507.764612903226,7311.78497,7958.213677419355,7485.219838709678,6392.118414285715,7666.396666666666,8221.765,7506.712500000001,9092.185552173913,8631.234153846153,7093.150117647058,9683.625333333333,7422.984909090909,9396.424727272728,9579.789277777778,8731.128330769232,9373.002952380954,9155.095142857142,9090.646833333332,7451.423199999999,9017.912333333334,10084.089166666667,9972.568444444443,8971.9900625,10527.785333333333,10176.826333333333,11490.971,11305.05,12169.133,12377.413,12231.239,10599.315666666667,11089.586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6549951205047
PLAYERS AND ELECTRONICS,6.081521196177029,16.06206896551724,17.18867924528302,10.476190476190476,11.055555555555555,11.590909090909092,15.882352941176471,13.636363636363637,22.285714285714285,28.285714285714285,43.5,45.0,51.0,53.25,50.285714285714285,55.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6411268574734548
BEAUTY,3.0784524987784865,8.079021129797326,9.556841388699796,6.837037037037037,9.154761904761905,13.333333333333334,18.25,18.0,60.5,61.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6243773886402464
CELEBRATION,7.9459219150755205,20.349012229539042,16.182403433476395,13.073394495412844,13.472527472527473,16.49484536082474,22.022727272727273,24.416666666666668,29.614285714285714,36.27450980392157,40.03703703703704,23.166666666666668,24.666666666666668,28.5,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5609378555472049
